name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Malaysia,2023-01-18,31.7,24.1,27.4,34.2,24.1,28.7,22,74.1,0.464,100,4.17,rain,0,0,9.7,15.3,346.9,1011.6,53.9,9.5,224.3,19.6,8,10,2023-01-18T07:24:41,2023-01-18T19:22:21,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-19,31.9,23,27,36.8,23,28.9,22.6,78.5,19.449,100,4.17,rain,0,0,15.1,12.5,258.9,1011,50.9,9.9,232.1,20.2,9,30,2023-01-19T07:24:57,2023-01-19T19:22:42,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-20,31.7,24.7,27.2,36.2,24.7,29.1,23.9,83.5,8.951,100,4.17,rain,0,0,10.4,16.2,298.6,1010.2,54.5,9.8,241.3,21,8,30,2023-01-20T07:25:13,2023-01-20T19:23:04,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-21,28.2,24.9,25.9,32.2,24.9,26.6,24,89.3,21.426,100,8.33,rain,0,0,13.7,11.6,350.4,1009.8,51,9.2,139.8,12,6,30,2023-01-21T07:25:27,2023-01-21T19:23:24,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-22,28,24.1,25.4,31.4,24.1,25.9,23.7,90.2,11.878,100,12.5,rain,0,0,7.2,10.1,328.9,1009.2,47,9.3,131.9,11.2,7,30,2023-01-22T07:25:41,2023-01-22T19:23:44,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-23,30.8,23.8,26,35.3,23.8,27.5,23.6,87.5,1.464,100,4.17,rain,0,0,10.4,14.3,237.1,1008.4,49.5,9,223.3,19.3,8,30,2023-01-23T07:25:54,2023-01-23T19:24:03,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-24,26,22.5,24.3,26,22.5,24.3,23.1,92.5,30.435,100,12.5,rain,0,0,5.8,9.4,296.5,1009.9,53.2,9.2,112,9.6,5,10,2023-01-24T07:26:06,2023-01-24T19:24:22,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-25,29,22.8,25.6,32.1,22.8,26.7,22.1,82.2,18.145,100,4.17,rain,0,0,8.3,7.1,84,1009.3,48.7,9.7,49.9,4.4,3,10,2023-01-25T07:26:17,2023-01-25T19:24:39,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-26,31,23,26.8,34.2,23,28.2,21.9,76.1,0,0,0,,0,0,8.3,9.9,41.1,1009.3,49.2,9.6,196.7,17,9,30,2023-01-26T07:26:28,2023-01-26T19:24:57,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-27,32.5,23.8,27.2,37.7,23.8,29.2,22.9,78.3,0.046,100,4.17,rain,0,0,7.2,14.6,324.6,1009,49,9.4,180.6,15.6,8,30,2023-01-27T07:26:37,2023-01-27T19:25:13,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
